year,category,film,name,result,gender,birthday
1972,Directing,The French Connection,William Friedkin,Winner,Male,1935
1972,Directing,A Clockwork Orange,Stanley Kubrick,Nominee,Male,1928
1972,Directing,Fiddler on the Roof,Norman Jewison,Nominee,Male,1926
1972,Directing,The Last Picture Show,Peter Bogdanovich,Nominee,Male,1939
1972,Directing,Sunday Bloody Sunday,John Schlesinger,Nominee,Male,1926
1973,Actor,The Godfather,Marlon Brando,Winner,Male,1924
1973,Actor,Sleuth,Michael Caine,Nominee,Male,1933
1973,Actor,Sleuth,Laurence Olivier,Nominee,Male,1907
1973,Actor,The Ruling Class,Peter O'Toole,Nominee,Male,1932
1973,Actor,Sounder,Paul Winfield,Nominee,Male,1939
1973,Actress,Cabaret,Liza Minnelli,Winner,Female,1946
1973,Actress,Lady Sings the Blues,Diana Ross,Nominee,Female,1944
1973,Actress,Travels with My Aunt,Maggie Smith,Nominee,Female,1934
1973,Actress,Sounder,Cicely Tyson,Nominee,Female,1924
1973,Actress,The Emigrants,Liv Ullmann,Nominee,Female,1938
1973,Directing,Cabaret,Bob Fosse,Winner,Male,1927
1973,Directing,Deliverance,John Boorman,Nominee,Male,1933
1973,Directing,The Emigrants,Jan Troell,Nominee,Male,1931
1973,Directing,The Godfather,Francis Ford Coppola,Nominee,Male,1939
1973,Directing,Sleuth,Joseph L. Mankiewicz,Nominee,Male,1909
1974,Actor,Save the Tiger,Jack Lemmon,Winner,Male,1925
1974,Actor,Last Tango in Paris,Marlon Brando,Nominee,Male,1924
1974,Actor,The Last Detail,Jack Nicholson,Nominee,Male,1937
1974,Actor,Serpico,Al Pacino,Nominee,Male,1940
1974,Actor,The Sting,Robert Redford,Nominee,Male,1936
1974,Actress,A Touch of Class,Glenda Jackson,Winner,Female,1936
1974,Actress,The Exorcist,Ellen Burstyn,Nominee,Female,1932
1974,Actress,Cinderella Liberty,Marsha Mason,Nominee,Female,1942
1974,Actress,The Way We Were,Barbra Streisand,Nominee,Female,1942
1974,Actress,"Summer Wishes, Winter Dreams",Joanne Woodward,Nominee,Female,1930
1974,Directing,The Sting,George Roy Hill,Winner,Male,1921
1974,Directing,American Graffiti,George Lucas,Nominee,Male,1944
1974,Directing,Cries and Whispers,Ingmar Bergman,Nominee,Male,1918
1974,Directing,The Exorcist,William Friedkin,Nominee,Male,1935
1974,Directing,Last Tango in Paris,Bernardo Bertolucci,Nominee,Male,1940
1975,Actor,Harry and Tonto,Art Carney,Winner,Male,1918
1975,Actor,Murder on the Orient Express,Albert Finney,Nominee,Male,1936
1975,Actor,Lenny,Dustin Hoffman,Nominee,Male,1937
1975,Actor,Chinatown,Jack Nicholson,Nominee,Male,1937
1975,Actor,The Godfather Part II,Al Pacino,Nominee,Male,1940
1975,Actress,Alice Doesn't Live Here Anymore,Ellen Burstyn,Winner,Female,1932
1975,Actress,Claudine,Diahann Carroll,Nominee,Female,1935
1975,Actress,Chinatown,Faye Dunaway,Nominee,Female,1941
1975,Actress,Lenny,Valerie Perrine,Nominee,Female,1943
1975,Actress,A Woman under the Influence,Gena Rowlands,Nominee,Female,1930
1975,Directing,The Godfather Part II,Francis Ford Coppola,Winner,Male,1939
1975,Directing,Chinatown,Roman Polanski,Nominee,Male,1933
1975,Directing,Day for Night,Francois Truffaut,Nominee,Male,1932
1975,Directing,Lenny,Bob Fosse,Nominee,Male,1927
1975,Directing,A Woman under the Influence,John Cassavetes,Nominee,Male,1929
1976,Actor,One Flew over the Cuckoo's Nest,Jack Nicholson,Winner,Male,1937
1976,Actor,The Sunshine Boys,Walter Matthau,Nominee,Male,1920
1976,Actor,Dog Day Afternoon,Al Pacino,Nominee,Male,1940
1976,Actor,The Man in the Glass Booth,Maximilian Schell,Nominee,Male,1930
1976,Actor,"Give 'em Hell, Harry!",James Whitmore,Nominee,Male,1921
1976,Actress,One Flew over the Cuckoo's Nest,Louise Fletcher,Winner,Female,1934
1976,Actress,The Story of Adele H.,Isabelle Adjani,Nominee,Female,1955
1976,Actress,Tommy,Ann-Margret,Nominee,Female,1941
1976,Actress,Hedda,Glenda Jackson,Nominee,Female,1936
1976,Actress,Hester Street,Carol Kane,Nominee,Female,1952
1976,Directing,One Flew over the Cuckoo's Nest,Milos Forman,Winner,Male,1932
1976,Directing,Amarcord,Federico Fellini,Nominee,Male,1920
1976,Directing,Barry Lyndon,Stanley Kubrick,Nominee,Male,1928
1976,Directing,Dog Day Afternoon,Sidney Lumet,Nominee,Male,1924
1976,Directing,Nashville,Robert Altman,Nominee,Male,1925
1977,Actor in a Leading Role,Network,Peter Finch,Winner,Male,1916
