year,category,film,name,result,gender,birthday,genreids,original_language
2017,Best Picture,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers",Nominee,,,"[18, 878, 9648]",en
2017,Best Picture,Fences,"Scott Rudin, Denzel Washington and Todd Black, Producers",Nominee,,,[18],en
2017,Best Picture,Hacksaw Ridge,"Bill Mechanic and David Permut, Producers",Nominee,,,"[18, 36, 10752]",en
2017,Best Picture,Hell or High Water,"Carla Hacken and Julie Yorn, Producers",Nominee,,,"[37, 80]",en
2017,Best Picture,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers",Nominee,,,"[18, 36]",en
2017,Best Picture,La La Land,"Fred Berger, Jordan Horowitz and Marc Platt, Producers",Nominee,,,"[35, 18, 10749, 10402]",en
2017,Best Picture,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers",Nominee,,,[18],en
2017,Best Picture,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",Nominee,,,[18],en
2018,Best Picture,The Shape of Water,"Guillermo del Toro and J. Miles Dale, Producers",Winner,,,"[18, 14, 10749]",en
2018,Best Picture,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",Nominee,,,"[10749, 18]",en
2018,Best Picture,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers",Nominee,,,"[18, 36]",en
2018,Best Picture,Dunkirk,"Emma Thomas and Christopher Nolan, Producers",Nominee,,,"[10752, 28, 18]",en
2018,Best Picture,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",Nominee,,,"[9648, 53, 27]",en
2018,Best Picture,Lady Bird,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers",Nominee,,,"[18, 35]",en
2018,Best Picture,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",Nominee,,,"[18, 10749]",en
2018,Best Picture,The Post,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers",Nominee,,,"[18, 36]",en
2018,Best Picture,"Three Billboards outside Ebbing, Missouri","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",Nominee,,,"[80, 18]",en
2019,Best Picture,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Winner,,,"[18, 35, 10402]",en
2019,Best Picture,Black Panther,"Kevin Feige, Producer",Nominee,,,"[28, 12, 878]",en
2019,Best Picture,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",Nominee,,,"[80, 18, 36, 35]",en
2019,Best Picture,Bohemian Rhapsody,"Graham King, Producer",Nominee,,,"[10402, 18, 36]",en
2019,Best Picture,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",Nominee,,,"[36, 18, 35]",en
2019,Best Picture,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers",Nominee,,,[18],es
2019,Best Picture,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",Nominee,,,"[18, 10749, 10402]",en
2019,Best Picture,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",Nominee,,,"[18, 36, 35]",en
2020,Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers",Winner,,,"[35, 53, 18]",ko
2020,Best Picture,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers",Nominee,,,"[18, 28, 36]",en
2020,Best Picture,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",Nominee,,,"[80, 18, 36]",en
2020,Best Picture,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Nominee,,,"[35, 10752, 18]",en
2020,Best Picture,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Nominee,,,"[80, 53, 18]",en
